ess_floor,safety_weight,robustness_scale,cv_penalty,cycle_instability_penalty,max_deleted_clusters,case_id,edge_probability_floor,safety_floor
1.9,0.75,0.55,0.25,0.65,1,pair-delete-002,0.09,0.29
1.9,0.75,0.55,0.95,2,1,pair-delete-008,0.126,0.4
1.2,0.35,0.2,0.6,1.25,2,pair-delete-007,0.108,0.34
1.9,0.75,0.55,0,0.2,1,pair-delete-005,0.072,-0.03
2.6,1.2,0.95,0.6,1.25,1,pair-delete-003,0.108,0.34
1.2,0.35,0.2,0.95,2,2,pair-delete-004,0.126,0.4
2.6,1.2,0.95,0,0.2,1,pair-delete-009,0.072,-0.03
1.2,0.35,0.2,0,0.2,2,pair-delete-001,0.072,-0.03
2.6,1.2,0.95,0.25,0.65,1,pair-delete-006,0.09,0.29
1.2,0.35,0.2,0.25,0.65,2,pair-delete-010,0.09,0.29
